"Bird1","Bird2","Comm1","Comm2","SameCommunity","Season"
"SDO","WOG",11,12,FALSE,"Spring 2026 Nesting Period_Communities"
"SGB","WOG",8,12,FALSE,"Spring 2026 Nesting Period_Communities"
"STT","WOG",8,12,FALSE,"Spring 2026 Nesting Period_Communities"
"SWB","WOG",7,12,FALSE,"Spring 2026 Nesting Period_Communities"
"SWT","WOG",11,12,FALSE,"Spring 2026 Nesting Period_Communities"
"SYO","WOG",4,12,FALSE,"Spring 2026 Nesting Period_Communities"
"WDB","WOG",3,12,FALSE,"Spring 2026 Nesting Period_Communities"
"WNS","WOG",2,12,FALSE,"Spring 2026 Nesting Period_Communities"
"CRY","WPG",1,12,FALSE,"Spring 2026 Nesting Period_Communities"
"GBO (was GPT)","WPG",2,12,FALSE,"Spring 2026 Nesting Period_Communities"
"GDN (was GDY)","WPG",1,12,FALSE,"Spring 2026 Nesting Period_Communities"
"GDO","WPG",3,12,FALSE,"Spring 2026 Nesting Period_Communities"
"GNG","WPG",4,12,FALSE,"Spring 2026 Nesting Period_Communities"
"PBP (was PBB)","WPG",5,12,FALSE,"Spring 2026 Nesting Period_Communities"
"PDN","WPG",4,12,FALSE,"Spring 2026 Nesting Period_Communities"
"PLS","WPG",6,12,FALSE,"Spring 2026 Nesting Period_Communities"
"RBP","WPG",7,12,FALSE,"Spring 2026 Nesting Period_Communities"
"RGT","WPG",8,12,FALSE,"Spring 2026 Nesting Period_Communities"
"ROO","WPG",9,12,FALSE,"Spring 2026 Nesting Period_Communities"
"RPP","WPG",5,12,FALSE,"Spring 2026 Nesting Period_Communities"
"RTT","WPG",10,12,FALSE,"Spring 2026 Nesting Period_Communities"
"SDO","WPG",11,12,FALSE,"Spring 2026 Nesting Period_Communities"
"SGB","WPG",8,12,FALSE,"Spring 2026 Nesting Period_Communities"
"STT","WPG",8,12,FALSE,"Spring 2026 Nesting Period_Communities"
"SWB","WPG",7,12,FALSE,"Spring 2026 Nesting Period_Communities"
"SWT","WPG",11,12,FALSE,"Spring 2026 Nesting Period_Communities"
"SYO","WPG",4,12,FALSE,"Spring 2026 Nesting Period_Communities"
"WDB","WPG",3,12,FALSE,"Spring 2026 Nesting Period_Communities"
"WNS","WPG",2,12,FALSE,"Spring 2026 Nesting Period_Communities"
"WOG","WPG",12,12,TRUE,"Spring 2026 Nesting Period_Communities"
"CRY","WSY",1,12,FALSE,"Spring 2026 Nesting Period_Communities"
"GBO (was GPT)","WSY",2,12,FALSE,"Spring 2026 Nesting Period_Communities"
"GDN (was GDY)","WSY",1,12,FALSE,"Spring 2026 Nesting Period_Communities"
"GDO","WSY",3,12,FALSE,"Spring 2026 Nesting Period_Communities"
"GNG","WSY",4,12,FALSE,"Spring 2026 Nesting Period_Communities"
"PBP (was PBB)","WSY",5,12,FALSE,"Spring 2026 Nesting Period_Communities"
"PDN","WSY",4,12,FALSE,"Spring 2026 Nesting Period_Communities"
"PLS","WSY",6,12,FALSE,"Spring 2026 Nesting Period_Communities"
"RBP","WSY",7,12,FALSE,"Spring 2026 Nesting Period_Communities"
"RGT","WSY",8,12,FALSE,"Spring 2026 Nesting Period_Communities"
"ROO","WSY",9,12,FALSE,"Spring 2026 Nesting Period_Communities"
